Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Los Angeles Clippers,W,P,10,2,.833,14.92,112.93,97.27,15.66,14.35,113.14,97.91,15.23
2,Atlanta Hawks,E,SE,9,2,.818,9.64,108.13,98.45,9.68,8.29,107.34,99.13,8.22
3,San Antonio Spurs,W,SW,9,3,.750,5.08,109.71,104.32,5.38,6.85,110.74,103.55,7.19
4,Chicago Bulls,E,C,8,4,.667,7.25,111.19,103.75,7.44,6.05,110.65,104.45,6.20
5,Cleveland Cavaliers,E,C,9,2,.818,5.55,112.27,106.57,5.69,5.52,111.15,105.55,5.60
6,Charlotte Hornets,E,SE,7,3,.700,5.70,108.69,103.02,5.66,5.67,108.10,102.50,5.59
7,Toronto Raptors,E,A,7,4,.636,4.09,113.91,109.61,4.30,5.28,114.58,109.09,5.49
8,Golden State Warriors,W,P,9,2,.818,8.00,117.15,109.05,8.10,5.13,116.70,111.49,5.22
9,Houston Rockets,W,SW,7,5,.583,3.75,112.99,109.15,3.84,3.50,113.94,110.41,3.53
10,Utah Jazz,W,NW,7,6,.538,2.77,106.50,103.51,2.98,3.23,107.71,104.27,3.45
11,Minnesota Timberwolves,W,NW,4,7,.364,3.82,113.92,109.85,4.07,2.73,114.52,111.60,2.92
12,Oklahoma City Thunder,W,NW,7,5,.583,0.50,103.92,103.47,0.45,2.31,104.17,101.82,2.35
13,Miami Heat,E,SE,3,8,.273,-0.73,99.92,100.79,-0.87,1.89,101.55,99.80,1.76
14,Detroit Pistons,E,C,6,6,.500,1.67,104.54,102.95,1.59,0.89,104.16,103.24,0.92
15,Los Angeles Lakers,W,P,7,5,.583,1.58,110.20,108.75,1.44,1.01,109.95,109.11,0.84
16,Boston Celtics,E,A,6,5,.545,0.45,109.95,109.62,0.32,-0.17,110.43,110.78,-0.35
17,Indiana Pacers,E,C,6,6,.500,-0.58,106.07,106.57,-0.50,-2.11,105.86,108.09,-2.22
18,Washington Wizards,E,SE,3,8,.273,-3.45,105.77,109.09,-3.32,-2.49,105.74,108.16,-2.41
19,Memphis Grizzlies,W,SW,6,5,.545,-3.64,104.43,108.20,-3.77,-2.58,104.18,106.69,-2.51
20,Milwaukee Bucks,E,C,5,6,.455,-1.18,104.17,105.38,-1.21,-2.86,106.06,109.10,-3.04
21,Brooklyn Nets,E,A,4,7,.364,-4.55,104.13,108.73,-4.60,-3.31,103.84,107.11,-3.27
22,Denver Nuggets,W,NW,4,7,.364,-2.27,105.79,108.28,-2.49,-3.46,103.91,107.53,-3.61
23,New York Knicks,E,A,5,7,.417,-4.92,107.69,112.34,-4.65,-4.03,108.19,111.95,-3.75
24,Sacramento Kings,W,P,4,8,.333,-3.92,106.76,110.91,-4.15,-3.90,106.72,110.85,-4.13
25,Portland Trail Blazers,W,NW,7,6,.538,-5.23,106.85,112.07,-5.22,-4.38,107.34,111.57,-4.23
26,Dallas Mavericks,W,SW,2,8,.200,-6.50,99.73,106.86,-7.13,-6.22,96.91,103.74,-6.83
27,Phoenix Suns,W,P,3,9,.250,-8.00,103.23,111.00,-7.76,-7.93,102.57,110.21,-7.64
28,New Orleans Pelicans,W,SW,2,10,.167,-7.33,100.33,107.89,-7.56,-8.55,98.11,106.96,-8.85
29,Orlando Magic,E,SE,5,7,.417,-8.58,99.20,108.34,-9.14,-9.00,99.90,109.50,-9.60
30,Philadelphia 76ers,E,A,2,10,.167,-12.50,97.20,110.18,-12.97,-10.51,98.41,109.43,-11.02
