,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,nrtg,nrtga,fanduel_points
0,1,1.0,2003-10-29,18-303,CLE,@,SAC,L (-14),1,42:00,12,20,0.6,0,2,0.0,1,3,0.33299999999999996,2,4,6,9,4,0,2,3,25,24.7,-9,5.45,5.88,51.7
1,2,2.0,2003-10-30,18-304,CLE,@,PHO,L (-9),1,41:00,8,17,0.47100000000000003,1,5,0.2,4,7,0.5710000000000001,2,10,12,8,1,0,7,1,21,14.7,-3,-4.02,-3.14,42.4
2,3,3.0,2003-11-01,18-306,CLE,@,POR,L (-19),1,39:00,3,12,0.25,0,1,0.0,2,2,1.0,0,4,4,6,2,0,2,3,8,5.0,-21,-1.47,-0.71,23.8
3,4,4.0,2003-11-05,18-310,CLE,,DEN,L (-4),1,41:00,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,1,7,11.2,-3,0.88,1.52,38.7
4,5,5.0,2003-11-07,18-312,CLE,@,IND,L (-1),1,44:00,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,23,9.0,-7,6.61,5.7,26.5
5,6,6.0,2003-11-08,18-313,CLE,,WAS,W (+13),1,45:00,8,19,0.42100000000000004,0,0,,1,4,0.25,5,3,8,9,1,1,2,1,17,15.7,14,-6.15,-6.69,42.1
6,7,7.0,2003-11-10,18-315,CLE,,NYK,W (+14),1,34:00,7,12,0.583,3,3,1.0,0,0,,1,4,5,4,1,1,2,0,17,15.8,20,-1.63,-2.17,31.0
7,8,8.0,2003-11-12,18-317,CLE,@,MIA,L (-5),1,42:00,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,18,12.8,-4,0.43,-0.28,34.1
8,9,9.0,2003-11-14,18-319,CLE,@,BOS,L (-9),1,35:00,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,0.8,-1,-1.63,-2.23,16.5
9,10,10.0,2003-11-15,18-320,CLE,,PHI,W (+3),1,47:00,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,2,22,15.6,8,-2.76,-3.26,41.0
